,id,BeautyLink
0,1,https://www.bbc.com/persian/iran/2015/03/150401_l51_nuclear_talks_lausanne_day7
1,2,https://www.bbc.com/persian/iran/2015/03/150401_l51_nuclear_talks_lausanne_day7
3,4,https://www.bbc.com/persian/world/2015/03/150331_u04_germanwinds_copilot
8,9,https://www.bbc.com/persian/iran/2015/03/150331_l45_erdogan_iran_visit
10,11,https://www.bbc.com/persian/world/2015/03/150323_u04_iraniraq_pilgrims
14,15,https://www.bbc.com/persian/iran/2015/03/150331_zzz_iran_nuclear_talks
16,17,https://www.bbc.com/persian/iran/2015/03/150331_sam_securety
17,18,https://www.bbc.com/persian/iran/2015/03/150331_sam_irantalks_irus
18,19,https://www.bbc.com/persian/iran/2015/03/150331_sam_irantalks_pai
19,20,https://www.bbc.com/persian/sport/2015/03/150331_l56_iran_afghanistan_u23_firooz
21,22,https://www.bbc.com/persian/world/2015/03/150331_saudi_arbia_invasion_yemen
22,23,https://www.bbc.com/persian/iran/2015/03/150331_sam_turkeyvox
25,26,https://www.bbc.com/persian/arts/2015/03/150331_l51_photography_awards_mobile
26,27,https://www.bbc.com/persian/iran/2015/03/150331_l10_iran_nuclear_talks_31_march
28,29,https://www.bbc.com/persian/world/2015/03/150331_me_same_sex_marriage_tokyo_japan
29,30,https://www.bbc.com/persian/world/2015/03/150331_l10_tikrit_government_buildings
31,32,https://www.bbc.com/persian/sport/2015/03/150331_l56_iran_saudi_arabia_sweeden
32,33,https://www.bbc.com/persian/world/2015/03/150331_an_turkey_hostage
33,34,https://www.bbc.com/persian/world/2015/03/150331_pics_tidal_nm_music
34,35,https://www.bbc.com/persian/science/2015/03/150331_me_efit_most_beautiful_britain
36,37,https://www.bbc.com/persian/iran/2015/03/150331_l10_iran_nuclear_talks_31_march
38,39,https://www.bbc.com/persian/world/2015/03/150331_an_turkey_power_cut
40,41,https://www.bbc.com/persian/world/2015/03/150331_an_turkey_power_cut
41,42,https://www.bbc.com/persian/world/2015/03/150331_me_singapor_teenager_charged_lee_kuan_yew
42,43,https://www.bbc.com/persian/science/2015/03/150331_me_ecigarettes_britain_research
47,48,https://www.bbc.com/persian/iran/2015/03/150331_nm_yemen_iran_afkham
48,49,https://www.bbc.com/persian/world/2015/03/150331_an_uk_jihad
49,50,https://www.bbc.com/persian/iran/2015/03/150331_l10_iran_nuclear_talks_31_march
50,51,https://www.bbc.com/persian/iran/2015/03/150331_l10_iran_nuclear_talks_31_march
51,52,https://www.bbc.com/persian/iran/2015/03/150331_l10_iran_nuclear_talks_31_march
52,53,https://www.bbc.com/persian/afghanistan/2015/03/150331_k03_ghazni_roadside_bomb
53,54,https://www.bbc.com/persian/iran/2015/03/150331_l03_mine_victims
54,55,https://www.bbc.com/persian/iran/2015/03/150331_l10_iran_nuclear_talks_31_march
55,56,https://www.bbc.com/persian/iran/2015/03/150331_l10_iran_nuclear_talks_31_march
56,57,https://www.bbc.com/persian/iran/2015/03/150331_l10_iran_nuclear_talks_31_march
57,58,https://www.bbc.com/persian/tvandradio/2015/03/150331_l93_most_covered_song9
58,59,https://www.bbc.com/persian/iran/2015/03/150323_u04_filmmaker_evinprison
59,60,https://www.bbc.com/persian/world/2015/03/150330_u01-yemen-hamas
60,61,https://www.bbc.com/persian/iran/2015/03/150323_u04_nucleartalks_deadlinearrives
