id,paragraph,link
0,Аз аввали апрели соли 2014 пахши матолиб тавассути сафҳаи сириллики бахши форсии Би-би-сӣ қатъ мешавад.,https://www.bbc.com/tajik/news/2015/03/150331_l16_bbc-tajik_closure
1,"Амири Пойвар, хабарнигори Би-би-сӣ дар маҳалли музокирот дар Лузон, аз қавли як манбаъи урупоии наздик ба музокирот мегӯяд: ""Ҷаласаи аввали имрӯз бо Эрон чандон умедворкунанда набуд.""",https://www.bbc.com/tajik/news/2015/03/150331_ea_iran_nuclear_talks_31_march
2,"Дар нишасти вузарои хориҷаи Гурӯҳи ""Панҷ ба иловаи як"" ва Эрон дар як сӯ вузарои хориҷаи қудратҳои бузурги ҷаҳон нишастаанд ва дар сӯи дигар мизи гурӯҳи музокиракунандаи Эрон. Дар болои миз Муҳаммадҷаводи Зариф, вазири хориҷаи Эрон ва Федерику Мугринӣ, масъули сиёсати хориҷии Иттиҳодияи Урупо, канори ҳам нишаста буданд.",https://www.bbc.com/tajik/news/2015/03/150330_ea_iran_nuclear_talks_30_march
3,Бар асоси гузоришҳо алорағми борони шадид ҳазорон нафар дар маросими ташйеъи ҷанозаи оқои Лӣ ширкат кардаанд.,https://www.bbc.com/tajik/news/2015/03/150329_l16_singapore_founder_death_funeral
4,"Бисёре натоиҷи ниҳоии ин интихоботро ба унвони маҳаке барои интихоботи раёсати ҷумҳурии кишвар, ки қарор аст дар соли 2017 мелодӣ баргузор шавад, таъбир мекунанд.",https://www.bbc.com/tajik/news/2015/03/150329_l16_france_local_elections_second_round
5,"Муаллифи матлаб ҳамчунин ба ин савол посух медиҳад, ки чаро порлумони Тоҷикистон ҳарчанд дар он ҳашт ҳизб вуҷуд дорад, “худфиребӣ”-к беш нест.",https://www.bbc.com/tajik/news/2015/03/150326_sq_tajpress
6,"Рӯзи панҷшанбеи 26 март музокиракунандагони омрикоӣ ва эронӣ ба сарпарастии Ҷон Керрӣ ва Муҳаммадҷавод Зариф, вазирони хориҷаи ду кишвар музокироти атумиро пас аз як вақфаи шашрӯза дар Лузон, Суис, аз сар мегиранд, дар ҳоле ки ба поёни зарбулаҷали ҳусули тавофуқи усулӣ дар ин замина камтар аз як ҳафта боқӣ мондааст.",https://www.bbc.com/tajik/news/2015/03/150326_rm_iran_nuc_lausanne_talks_resumed
7,"Одил Ҷубайр гуфт, ки Арабистони Саъудӣ барои ""дифоъ аз давлати машрӯъи"" Абдраббуҳ Мансур Ҳодӣ, раиси ҷумҳури Яман иқдом мекунад.",https://www.bbc.com/tajik/news/2015/03/150326_rm_yemen_saudiaction
8,"Атоуллоҳ Файзон, узви Шӯрои уламои Кобул дар бораи таҷаммуъи уламои Кобул, кишавоҳиде, ки амалан ба он даст ёфта нишон медиҳад, ки Фархунда як мубаллиғи исломӣ будааст, ки бар алайҳи хурофот мубориза мекардааст.",https://www.bbc.com/tajik/news/2015/03/150325_sq_k05_farkhunda_afghan_ulama
9,"Ин тавофуқро Холид Тӯфон, раиси Созмони Энержии Атумии Урдун ва Сергей Гринко, мудири омили ширкати Русатум - Созмони Энержии Атумии Русия -  дар пойтахти Урдун имзо кардаанд.",https://www.bbc.com/tajik/news/2015/03/150325_rm_jordan_russia_nuclear
10,"Ҳар ду раҳбар аз замони фурӯпошии Иттиҳоди Шӯравӣ дар раъси ҳукумат буда ва ҷузви қадимитарин раҳбарони ҷаҳон ҳастанд. Мавориде, ки дар ин матолиб ба он ишора мешавад, равишҳои раҳбарони Осиёи Миёна барои боқӣ мондан дар қудрат аст, ки дар амал ба кор бурда шуда ва дар ин кишварҳо натиҷа додааст.",https://www.bbc.com/tajik/news/2015/03/150325_rm_central_asia_politics
11,"Ҳамзамон хабар мерасад, ки тимҳои наҷот ба маҳалли дуруфтодаи вуқуъи ҳодиса расидаанд.",https://www.bbc.com/tajik/news/2015/03/150325_sq_an_france_airbus_crash
12,"Сайҳун номи арабӣ ва куҳантари Сирдарё, рӯдест, ки аз кӯҳистони Тиёншон сарчашма мегирад ва ба дарёчаи Хоразм ё Орол мерезад. Ин рӯд аз васати шаҳри Хуҷанд, маркази устони Суғди Тоҷикистон, мегузарад.",https://www.bbc.com/tajik/news/2015/03/150324_ea_sayhun_rahman_town
13,"Як мақоми баландпояи исроилӣ ба Би-би-сӣ гуфт гузориши рӯзномаи Вол Истрит Журнол ""кизби маҳз"" аст.",https://www.bbc.com/tajik/news/2015/03/150324_rm_israel_spying_iran_nuclear_talks
14,"Атовуллоҳ Хугиёнӣ, сухангӯйи волии Вардак? ба хабаргузории Фаронса гуфт, ки муҳоҷимони мусаллаҳ имрӯз, (сешанбеи 24 март) ҳудуди соъати яки бомдод ба вақти маҳаллӣ ба рӯи мусофирони ин утубус оташ гушуданд ва 13 нафар ба шумули як занро куштанд.",https://www.bbc.com/tajik/news/2015/03/150324_rm_rln_gunmen_killing_passengers
15,"Ҳарчанд вуҷуди чунин ""артиши интернетӣ"" дигар ҳарфи наве нест, аммо иттилоъоти ахире ки дар матбуъот ба нашр расид, пардаро аз рӯйи бархе ҷузъиёти фаъъолияти ин абзори муҳимми пропогандои русӣ бар медоранд. ",https://www.bbc.com/tajik/news/2015/03/150324_sq_kremlin_internet_trolls
16,"Ҳусиҳо моҳи гузашта Абдраббуҳ Мансур Ҳодӣ, раиси ҷумҳури Яманро барканор карданд ва ӯ ба шаҳри Адан дар ҷануби Адан гурехт, то дар онҷо барои худ пойгоҳе эҷод кунад.",https://www.bbc.com/tajik/news/2015/03/150324_rm_yemen_arabs
17,"Тибқи иттилоъи торнамои вазорат ин воқеъа, дар рӯзҳои таҷлил аз ҷашни Наврӯз дар ноҳияи Турсунзода, воқеъ дар шаст килуметрии ғарби шаҳри Душанбе рух додааст.",https://www.bbc.com/tajik/news/2015/03/150324_zkh_accident_chidren_death
18,"Дар маросими наврӯзии тоҷикон таъсироте аз ҷашнҳои дигари роиҷ дар Шӯравии собиқ, чун Соли нави масеҳӣ, ҳамчунон падидор аст, монанди “Бобои Деҳқон ва Маликаи Наврӯз”, ду қаҳрамони аслии барномаҳои намоишии наврӯзӣ, ки тақлиде аз “Бобои Барфӣ” (Дед Муруз ё ҳамон Бобо Нуэл) ва “Барфак” (ҳамон Иснегуручкои русӣ ё Маликаи Барф) ҳастанд. Ё расми оташбозӣ (фейерверк), ки дар солҳои гузашта шаҳрдории Душанбе бехабар аз лаҳзаи тавҳили сол дар шаби 21 морс баргузор мекард, тақлиде ошкор аз шаби Соли нави милодӣ аст.",https://www.bbc.com/tajik/news/2015/03/150323_ea_nowrooz_in_tajikistan
19,"Оқои Лӣ, ки барои 31 сол нахуствазир буд, ба унвони меъмори рифоҳи иқтисодии Сингопур мавриди эҳтироми бисёре аз мардуми ин кишвар аст.",https://www.bbc.com/tajik/news/2015/03/150323_rm_singapore_founder
21,Фархунда се рӯз қабл дар маркази шаҳри Кобул бо сангу чӯби шуморе аз мардон кушта ва сипас ҷасадаш сӯзонда шуд.,https://www.bbc.com/tajik/news/2015/03/150322_ea_farkhunda_ceremony_mourning
22,"Ин хуршедгирифтагӣ аз он назар ҷолиби таваҷҷуҳ аст, ки таи рух доданаш фосилаи замину моҳ дар тӯли чандин сол ба камтарин мизони худ мерасад ва моҳ сояи бузургтаре рӯйи замин меандозад.",https://www.bbc.com/tajik/news/2015/03/150320_rm_solar_eclipse
23,"Дар соъати нахустини ин ҳодиса Солеҳ Муҳаммад, фармондеҳи яке аз ҳавзаи амниятии пойтахти Афғонистон, ба Би-би-сӣ гуфт: ""Ин ҳодиса замоне рӯй дод, ки як зан нусхае аз Қуръонро ба оташ кашид ва даҳҳо тан аз раҳгузарон бо сангу чӯб ба ӯ ҳамла карданд ва ӯро куштанд.""",https://www.bbc.com/tajik/news/2015/03/150320_rm_kabul_woman_burnt
24,"Ба гуфтаи раиси ҷумҳурии Омрико, музокироти атумӣ миёни Эрон ва қудратҳои ҷаҳонӣ пешрафтҳое дошта, аммо ҳамчунин ихтилофоте боқӣ мондааст.",https://www.bbc.com/tajik/news/2015/03/150320_rm_obama_iran_nowruz_message
25,"Ин шӯро дар гузорише зимни ироаи феҳристе аз иқдомоти хушунатомези Давлати исломӣ ба хусус алайҳи ақаллияти эзадии Ироқ, гуфтааст, ки бар асоси қавонини байналмилалӣ метавон гуфт, ки ин гурӯҳ муртакиби тамомии ҷароими ҷиддии шомили ҷинояти ҷангӣ, ҷиноят алайҳи башарият ва наслкушӣ шуда бошад.",https://www.bbc.com/tajik/news/2015/03/150319_l16_l03_is_un_crimes
26,"Воҳидҳои низомии вафодор ба Абдраббуҳ Мансур Ҳодӣ, раиси ҷумҳурии Яман, пас аз чанд рӯзи набарди сангин ва истифода аз тонк ва аслиҳаи сангин, тавонистаанд нерӯҳои вафодор ба Алӣ Абдуллоҳи Солеҳ, раиси ҷумҳурии пешин ва аз муттаҳидони ҳусиҳоро аз муҳавватаи фурудгоҳи Адан хориҷ кунанд.",https://www.bbc.com/tajik/news/2015/03/150319_l16_yemen_aden
27,"Asia Plus, ҳафтаномаи русизабон, яке аз матолиби худро ба симати ҷадиди писари раиси ҷумҳурии Тоҷикистон бахшида ва онро ба таври пурсишомез “Оё касе ҷуз вай масъулиятпазир нест?” ном гузоштааст.",https://www.bbc.com/tajik/news/2015/03/150319_zkh_press_review
28,"Ӯ дар паёми худ унвонии зиёиёни кишвар дар робита ба ҷашни Наврӯз, онҳоро ба ташвиқи худогоҳиву худшиносӣ ва ойини мудоро даъват кардааст.",https://www.bbc.com/tajik/news/2015/03/150319_sq_rahman_inteligencia
29,"19 нафар, аз ҷумла 17 туристи хориҷӣ дар ин ҳамлаи мусаллаҳона ба музейи Борду кушта шуданд.",https://www.bbc.com/tajik/news/2015/03/150319_rm_tunisia_terrorattack
30,"Сиддиқ Сиддиқӣ, сухангӯи вазорати умури дохилаи Афғонистон мегӯяд, ки ин инфиҷор ҳаволии соъати ёздаҳи қабл аз зуҳр ба вақти маҳаллӣ иттифоқ уфтод.",https://www.bbc.com/tajik/news/2015/03/150318_l16_k03_helmand_blast
31,"Тибқи гузориши Омбудсмани Тоҷикистон дар соли 2014 дар ин кишвар, шикоёти шаҳрвандон дар нисбат ба мақомоти интизомӣ афзоиш ёфта ва шикоёт дар робита ба мақомоти додгоҳӣ дар ин кишвар дар муқоиса бо соли гузашта коҳиш ёфтааст.",https://www.bbc.com/tajik/news/2015/03/150318_sq_rln_ombudsman_report
32,"Эътилофи мавсум ба ""Иттиҳоди Саҳюнистӣ"" ба раҳбарии Исҳоқ Ҳертзуг, ки аз мухолифони  аслии оқои Нетонёҳу аст, бо 24 курсӣ ё 19 дарсад аз орои умумӣ дар радаи дувум қарор гирифтааст.",https://www.bbc.com/tajik/news/2015/03/150318_ea_israel_election_final_result
33,"Назарсанҷиҳо аз раъйдиҳандагон дар интихоботи рӯзи сешанбе ҳокӣ аз он буд, ки Ликуд дар рақобате танготанг бо Иттиҳоди Саҳюнист, эътилофе аз аҳзоби миёна ва чап, қарор дорад.",https://www.bbc.com/tajik/news/2015/03/150318_ea_netanyhu_elections
34,"Радди пойи мор, ба унвони мавҷуде ҷолиби таваҷҷуҳро ҳатто метавон дар асотири куҳан аз ҷумла Юнони бостон ёфт. Нишони мор дар асотири юнонӣ-румӣ ба 1200 соли қабл аз мелоди Масеҳ бармегардад, ки дар он ""Оскилипиюс"" (фарзанди Опулон) худогунаи пизишкӣ ва дармон, беморонро шифо мебахшид ва мурдагонро зинда мекардааст. Ӯ ҳамвора асоеро бо худ ба ҳамроҳ дошт, ки море ба даври он печида буд, чиро ки дар асотири юнонӣ-румӣ намоди ҳуш ва саломат буд.",https://www.bbc.com/tajik/news/2015/03/150317_l16_me_snake_poison
35,"Эмомалӣ Раҳмон ҳамчунин аз аъзои ҷадиди Маҷлиси намояндагон, ки аксарияти кулли онҳоро аъзои ҳизби ҳокими халқи демукрот ташкил медиҳанд, хост, ки қавонин ва муқаррароти марбут ба мубориза бо терурисм, ифротгароӣ, қочоқи маводди мухаддир, фасод ва ҷароими дигари иқтисодиро такмил кунанд.",https://www.bbc.com/tajik/news/2015/03/150317_ea_rahman_parliament
36,"Торнамои ин ниҳод рӯзи сешанбеи 17 март зимни пахши ин иттилоъ навиштааст, ки пулис дар шаҳри Душанбе ва вилояти Суғди Тоҷикистон дар амалиётҳои вижае ҳафт нафар аз сокинонро дар робита бо ин амал боздошт кардааст.",https://www.bbc.com/tajik/news/2015/03/150317_zkh_trade_dollar_crime_police
37,"Аҷмал Обидӣ, сухангӯйи раиси ҷумҳурии Афғонистон, ба Би-би-сӣ гуфт, ки ""ҳузури Доъиш дар Афғонистон воқеъан нигаронкунанда аст.""",https://www.bbc.com/tajik/news/2015/03/150317_rm_afghan_is_govt_confirmed_is_presence
38,"Бар асоси иттилоъи дафтари матбӯъотии ҲНИТ, Муҳиддин Кабирӣ нахуст дар Анҷумани осиёӣ барои сулҳ ва ваҳдат, (Asian Forum for Peace & Development), ки рӯзи сешанбеи 17 март оғоз ёфтааст, ширкат мекунад.",https://www.bbc.com/tajik/news/2015/03/150317_zkh_rln_malaysia_islamic_party
39,"Бинёмин Нетонёҳу, нахуствазири Исроил, бо чолише аз сӯйи эътилофи миёна-чап, ки қавли беҳбуди равобити фаластиниҳо ва ҷомеъаи байналмилалиро дода, рӯбарӯст.",https://www.bbc.com/tajik/news/2015/03/150317_rm_israel_election
40,"Ин хабар дар канори хабари фармонҳои раиси ҷумҳури Тоҷикистон дар бораи чандин барканорӣ ва таъйиноти мақомоти мухталифи кишвар, рӯзи душанбе, 16-уми март дар сойти раёсати ҷумҳури Тоҷикистон мунташир шуд.",https://www.bbc.com/tajik/news/2015/03/150316_sq_reshuffle
41,"Ин нишаст рӯзи душанбеи 16 март ба ибтикори масъулони Ожонси назорат бар маводди мухаддири Тоҷикистон доир шуда ва дар он намонядагони чаҳор кишвари минтақа, аз ҷумла Тоҷикистон, Қирғизистон, Узбакистон ва Афғонистон ширкат карданд.",https://www.bbc.com/tajik/news/2015/03/150316_zkh_afghan_drug_un
42,"Ба хотири фазои аҷибу ғарибе, ки ҳоло дар Маскав вуҷуд дорад, ҷаҳон ба дидоре, ки қарор аст рӯзи душанбе миёни Путин ва Отанбоев баргузор шавад, диққати вижа дорад.",https://www.bbc.com/tajik/news/2015/03/150316_sq_putin_speculations
43,"Тасовире, ки хабаргузории Оссушиэйтед Пресс забт карда, нишод медиҳад, ки аз сохтмони оромгоҳи Саддом Ҳусейн дар рустои Алъавҷа фақат сутунҳои он боқӣ мондаанд.",https://www.bbc.com/tajik/news/2015/03/150316_rm_tikrit_sddam
44,"Оқои Путин дар изҳороте дар як филми мустанад, ки якшанбе аз телевизиюни Русия пахш шуд, гуфт, ки зиндагии Виктур Ёнукович, раиси ҷумҳури собиқи Укройн, дар ҷараёни эътирозоти зиддидавлатиии ин кишвар дар хатар буд.",https://www.bbc.com/tajik/news/2015/03/150316_rm_putin_nuclearalert
45,"Оқои Керрӣ, ки дар остонаи чаҳорумин солгарди оғози ҷанги дохилии Сурия сухан мегуфт, буҳрони ин кишварро ""яке аз бадтарин трожедиҳо"" тавсиф кард, ки башар то кунун ба чашм дидааст.",https://www.bbc.com/tajik/news/2015/03/150315_l16_l57_kerry_assad_negotiate
46,"Денис Макдуну, раиси дафтари раиси ҷумҳури Омрико рӯзи шанбеи 14 март дар номае ба Буб Крукер, раиси ҷумҳурихоҳи Кумитаи равобити хориҷии маҷлиси Сенои ин кишвар навишт, ки тарҳе, ки ҷумҳурихоҳон дар Сено дар пайи тасвиби он ҳастанд, метавонад монеъи муваффақияти музокирот шавад.",https://www.bbc.com/tajik/news/2015/03/150315_l16_l10_white_house_letter_senate
47,"Усқуф Силвону Тумосӣ, аршадтарин диплумоти Вотикон дар дафтари Созмони Милали Муттаҳид дар Женев гуфтааст, ки нерӯҳои ҷиҳодӣ дар минтақа муртакиби ""куштори ҷамъӣ"" ҳастанд ва бояд мутаваққиф шаванд.",https://www.bbc.com/tajik/news/2015/03/150315_l16_l30_vatican_isis_military
48,"Ин мақоми омрикоӣ, ки хоста номаш фош нашавад, гуфтааст, Борок Убомо, раиси ҷумҳурии Омрико ва Муҳаммад Ашраф Ғанӣ, раиси ҷумҳури Афғонистон гуфтугӯҳои зиёде дар мавриди мавзуъоти амниятӣ ва раванди сулҳи Афғонистон доштаанд.",https://www.bbc.com/tajik/news/2015/03/150315_l16_mar_us_likely_to_delay_withdrawal_of_troops
49,"Ба гуфтаи расонаҳои маҳаллӣ ҳаддиақал 10 нафар бар асари инфиҷор дар наздикии ду калисо дар минтақаи масеҳинишини ""Юҳанобод"" кушта ва дастикам 50 нафар маҷруҳ шудаанд.",https://www.bbc.com/tajik/news/2015/03/150315_l30_pakistan_lahore_church_blasts
50,Хонум Амиршоева дар ин бора рӯзи шанбеи 14 март дар суҳбате телефунӣ ба Би-би-сӣ хабар дод.,https://www.bbc.com/tajik/news/2015/03/150314_ea_amirshayeva_language
51,"Ҳамлаи тактирандозҳои Доъиш ба нерӯҳои артиши Ироқ афзоиш ёфтааст, зимни он ки талаҳои (домҳои) инфиҷории коргузошташуда дар сохтмонҳои атрофи шаҳр пешравии шибҳинизомиёни шиъа ва артиши Ироқро ба самти маркази Такрит кунд кардааст.",https://www.bbc.com/tajik/news/2015/03/150314_ea_iraqi_forces_hope_retake_tikrit_week
52,"Дар ин бора Усмон Солеҳ, масъули бахши равобити умумии ҳизби халқи демукрот, ба Би-би-сӣ хабар дод. Ба гуфтаи ӯ, ин дарахтон иборат аз дарахтони мевадор ва бемева буда ва ин тадбир дар остонаи Наврӯзу баҳор ва ба муносибати сеҳазорсолагии минтақаи бостонии Ҳисор анҷом шудааст.",https://www.bbc.com/tajik/news/2015/03/150314_ea_pdpt_tree_planting
53,"Оқои Бордюжа дар ин бора рӯзи ҷумъа дар нишасти матбӯъотии худ дар шаҳри Душанбе пас аз дидораш бо Эмомалӣ Раҳмон, раиси ҷумҳурии Тоҷикистон, ба хабарнигорон хабар дод. Вайгуфт, ки раиси ҷумҳури Тоҷикистон ризояти худро дар ин бора иброз дошта ва тасмими сиёсӣ дар ин бора вуҷуд дорад.",https://www.bbc.com/tajik/news/2015/03/150313_sq_bordujha_taj
