,id,link,title,month,year,tag,lang,dirty,cleared_title,equals_persian_links,equals_persian_links_counts,persian_year
0,7,https://www.bbc.com/tajik/news/2015/03/150326_rm_yemen_saudiaction,150326_rm_yemen_saudiaction,03,2015,news,tajik,rm,yemen_saudiaction,['https://www.bbc.com/persian/world/2015/03/150325_u04_yemen_saudiaction'],1,2015
1,9,https://www.bbc.com/tajik/news/2015/03/150325_rm_jordan_russia_nuclear,150325_rm_jordan_russia_nuclear,03,2015,news,tajik,rm,jordan_russia_nuclear,['https://www.bbc.com/persian/world/2015/03/150325_an_jordan_russia_nuclear'],1,2015
2,10,https://www.bbc.com/tajik/news/2015/03/150325_rm_central_asia_politics,150325_rm_central_asia_politics,03,2015,news,tajik,rm,central_asia_politics,['https://www.bbc.com/persian/world/2015/03/150324_an_central_asia_politics'],1,2015
3,12,https://www.bbc.com/tajik/news/2015/03/150324_ea_sayhun_rahman_town,150324_ea_sayhun_rahman_town,03,2015,news,tajik,ea,sayhun_rahman_town,['https://www.bbc.com/persian/world/2015/03/150324_ea_sayhun_rahman_town'],1,2015
4,13,https://www.bbc.com/tajik/news/2015/03/150324_rm_israel_spying_iran_nuclear_talks,150324_rm_israel_spying_iran_nuclear_talks,03,2015,news,tajik,rm,israel_spying_iran_nuclear_talks,['https://www.bbc.com/persian/iran/2015/03/150324_an_israel_spying_iran_nuclear_talks'],1,2015
5,14,https://www.bbc.com/tajik/news/2015/03/150324_rm_rln_gunmen_killing_passengers,150324_rm_rln_gunmen_killing_passengers,03,2015,news,tajik,rm,gunmen_killing_passengers,['https://www.bbc.com/persian/afghanistan/2015/03/150324_zs_gunmen_killing_passengers'],1,2015
6,18,https://www.bbc.com/tajik/news/2015/03/150323_ea_nowrooz_in_tajikistan,150323_ea_nowrooz_in_tajikistan,03,2015,news,tajik,ea,nowrooz_in_tajikistan,['https://www.bbc.com/persian/world/2015/03/150321_l47_nowrooz_in_tajikistan'],1,2015
7,19,https://www.bbc.com/tajik/news/2015/03/150323_rm_singapore_founder,150323_rm_singapore_founder,03,2015,news,tajik,rm,singapore_founder,['https://www.bbc.com/persian/world/2015/03/150322_u04_singapore_founder'],1,2015
8,22,https://www.bbc.com/tajik/news/2015/03/150320_rm_solar_eclipse,150320_rm_solar_eclipse,03,2015,news,tajik,rm,solar_eclipse,['https://www.bbc.com/persian/science/2015/03/150320_l45_solar_eclipse'],1,2015
9,23,https://www.bbc.com/tajik/news/2015/03/150320_rm_kabul_woman_burnt,150320_rm_kabul_woman_burnt,03,2015,news,tajik,rm,kabul_woman_burnt,['https://www.bbc.com/persian/afghanistan/2015/03/150318_mar_kabul_woman_burnt'],1,2015
10,24,https://www.bbc.com/tajik/news/2015/03/150320_rm_obama_iran_nowruz_message,150320_rm_obama_iran_nowruz_message,03,2015,news,tajik,rm,obama_iran_nowruz_message,['https://www.bbc.com/persian/iran/2015/03/150319_u14_obama_iran_nowruz_message'],1,2015
11,26,https://www.bbc.com/tajik/news/2015/03/150319_l16_yemen_aden,150319_l16_yemen_aden,03,2015,news,tajik,l16,yemen_aden,['https://www.bbc.com/persian/world/2015/03/150319_l03_yemen_aden'],1,2015
12,29,https://www.bbc.com/tajik/news/2015/03/150319_rm_tunisia_terrorattack,150319_rm_tunisia_terrorattack,03,2015,news,tajik,rm,tunisia_terrorattack,['https://www.bbc.com/persian/world/2015/03/150318_u04_tunisia_terrorattack'],1,2015
13,33,https://www.bbc.com/tajik/news/2015/03/150318_ea_netanyhu_elections,150318_ea_netanyhu_elections,03,2015,news,tajik,ea,netanyhu_elections,['https://www.bbc.com/persian/world/2015/03/150317_u04_netanyhu_elections'],1,2015
